time,x,y,z,yaw
1768965555.6976597,-6.52255382704915e-16,3.3461049380551864e-32,0.0,-1.2354335416536714e-16
1768965555.7469149,-6.522553450569717e-16,3.3461044729379857e-32,0.0,-1.2354400596911077e-16
1768965555.7972772,-6.522559249700307e-16,3.346111637433385e-32,0.0,-1.2354453977757024e-16
1768965555.8473904,-6.522558217894421e-16,3.346110362692458e-32,0.0,-1.2354458866651531e-16
1768965555.8968985,-6.522562141505723e-16,3.3461152100941056e-32,0.0,-1.2354472045927417e-16
1768965555.9470062,-6.522566479239105e-16,3.3461205691399554e-32,0.0,-1.2354497850928102e-16
1768965555.9969177,-6.522567184823762e-16,3.3461214408675377e-32,0.0,-1.2354569066123499e-16
1768965556.047345,-6.522566053594189e-16,3.3461200432782705e-32,0.0,-1.2354621957577358e-16
1768965556.0969653,-6.522571187299237e-16,3.3461263857806524e-32,0.0,-1.235463668094106e-16
1768965556.1470788,-6.52257623251958e-16,3.346132618997938e-32,0.0,-1.2354703768726917e-16
1768965556.1971285,-6.522575675812167e-16,3.346131931202756e-32,0.0,-1.2354715179401221e-16
1768965556.2471871,-6.522580449037673e-16,3.3461378283980646e-32,0.0,-1.2354757151289537e-16
1768965556.2970796,-6.522582699525213e-16,3.3461406088290083e-32,0.0,-1.235479373354687e-16
1768965556.3470576,-6.522583983991243e-16,3.346142195772063e-32,0.0,-1.2354856679059932e-16
1768965556.3969567,-6.522582942187157e-16,3.3461409086356844e-32,0.0,-1.2354908323133088e-16
1768965556.4472702,-6.522586401242137e-16,3.346145182270203e-32,0.0,-1.2354910797955902e-16
1768965556.496893,-6.522591488235284e-16,3.3461514672085994e-32,0.0,-1.2354926220558731e-16
1768965556.5469983,-6.522588798838616e-16,3.346148144478725e-32,0.0,-1.2354937302139958e-16
1768965556.5974863,-6.522591844781044e-16,3.346151907721258e-32,0.0,-1.235501431820183e-16
1768965556.646971,-6.522596852889743e-16,3.3461580952545104e-32,0.0,-1.235503460881291e-16
1768965556.697899,-6.522599425747725e-16,3.3461612740304415e-32,0.0,-1.2355048263267198e-16
1768965556.7469475,-6.522597140182251e-16,3.346158450202791e-32,0.0,-1.2355059959702551e-16
1768965556.7975483,-6.522600588516927e-16,3.346162710645715e-32,0.0,-1.2355102338190569e-16
1768965556.8469684,-6.522604273202784e-16,3.3461672631237584e-32,0.0,-1.235514651825765e-16
1768965556.8979788,-6.522605837972389e-16,3.346169196424043e-32,0.0,-1.235515460766351e-16
1768965556.9473963,0.0002111999996596551,3.1671391555086113e-17,0.0,2.9389141531333394e-13
