time,x,y,z,yaw,vx,vy,cov_xx,cov_yy,cov_xy,cov_yaw
0.0,-6.336669716632109e-13,-8.240765450983349e-15,0.0,-5.710348823859069e-19,-5.867185748630917e-13,-7.16825992347554e-15,0.10000009885368544,0.10000009885368544,-2.241412683180167e-28,0.10000528960039357
0.0010000000000047748,-6.337566260860201e-13,-8.241848439041802e-15,0.0,-5.661601589934285e-19,-5.80190388634489e-13,-7.12373018477837e-15,0.10000009924559268,0.10000009924559268,-2.222428819414832e-28,0.10000533570039878
0.0020000000000095497,-6.338430816540377e-13,-8.242921938395855e-15,0.0,-5.715744521957066e-19,-5.789267681048307e-13,-7.074170980051945e-15,0.10000009963756984,0.10000009963756984,-2.2036821623184986e-28,0.10000538200040404
0.0030000000000001137,-6.339332278687724e-13,-8.24398245319755e-15,0.0,-5.68653339684079e-19,-5.655939223721907e-13,-7.02766015813557e-15,0.10000010002961623,0.10000010002961623,-2.1851680814237044e-28,0.10000542850040935
0.0040000000000048885,-6.340201193285166e-13,-8.245027774622626e-15,0.0,-5.746843760308148e-19,-5.548962215832732e-13,-6.99197375758206e-15,0.10000010042173114,0.10000010042173114,-2.1668839030168193e-28,0.1000054752004147
0.0049999999999954525,-6.341009715480642e-13,-8.24605683594792e-15,0.0,-5.796651498825239e-19,-5.558416244779133e-13,-6.974814674128334e-15,0.10000010081391388,0.10000010081391388,-2.148826614633094e-28,0.10000552210042009
0.006000000000000227,-6.341843556732809e-13,-8.247082327904447e-15,0.0,-5.770441288355993e-19,-5.49029868549573e-13,-6.948124276433611e-15,0.10000010120616376,0.10000010120616376,-2.13099143453398e-28,0.10000556920042553
0.007000000000005002,-6.342645328441014e-13,-8.248098460873813e-15,0.0,-5.839666601057201e-19,-5.474894686603828e-13,-6.92449223836151e-15,0.1000001015984801,0.1000001015984801,-2.113375813176223e-28,0.10000561650043101
0.007999999999995566,-6.343484334461438e-13,-8.249104089213742e-15,0.0,-5.827042930599412e-19,-5.33883007464578e-13,-6.908543721490056e-15,0.10000010199086226,0.10000010199086226,-2.095975327614649e-28,0.10000566400043653
0.009000000000000341,-6.344291087974709e-13,-8.2501029442551e-15,0.0,-5.8979632523497015e-19,-5.229009159073466e-13,-6.8930381994427384e-15,0.10000010238330954,0.10000010238330954,-2.078787629798329e-28,0.1000057117004421
0.010000000000005116,-6.345037279283768e-13,-8.251095637300352e-15,0.0,-5.9378630817872e-19,-5.235737154409755e-13,-6.876570673058e-15,0.1000001027758213,0.1000001027758213,-2.061810021086153e-28,0.10000575960044772
0.01099999999999568,-6.345808896046802e-13,-8.252089550215789e-15,0.0,-5.889161072539807e-19,-5.164970445114932e-13,-6.838239082502714e-15,0.10000010316839689,0.10000010316839689,-2.0450379308672408e-28,0.10000580770045338
0.012000000000000455,-6.346548391868881e-13,-8.253075549670186e-15,0.0,-5.942872163967158e-19,-5.147004545506546e-13,-6.7950907061874396e-15,0.10000010356103563,0.10000010356103563,-2.0284691910415673e-28,0.1000058560004591
0.01300000000000523,-6.347325472666176e-13,-8.254050414196274e-15,0.0,-5.930951191133345e-19,-5.008420118837209e-13,-6.754430160887124e-15,0.10000010395373689,0.10000010395373689,-2.0120995861929211e-28,0.10000590450046487
0.013999999999995794,-6.348070517618816e-13,-8.255011682005073e-15,0.0,-6.005436674970833e-19,-4.896275591239015e-13,-6.724294161071655e-15,0.10000010434650003,0.10000010434650003,-1.995927184739888e-28,0.10000595320047069
0.015000000000000568,-6.348754941234131e-13,-8.255957922434846e-15,0.0,-6.051968088805264e-19,-4.900722235298284e-13,-6.712928644562042e-15,0.10000010473932444,0.10000010473932444,-1.9799496371547428e-28,0.10000600210047655
0.016000000000005343,-6.349464977319652e-13,-8.25690200811524e-15,0.0,-6.015819012996832e-19,-4.827704920895631e-13,-6.691998348290343e-15,0.10000010513220947,0.10000010513220947,-1.96416249127164e-28,0.10000605120048246
0.016999999999995907,-6.350142969849243e-13,-8.257842807157033e-15,0.0,-6.079053352082163e-19,-4.807389238492519e-13,-6.661098068546425e-15,0.10000010552515451,0.10000010552515451,-1.948563838257118e-28,0.10000610050048842
0.018000000000000682,-6.350858964237913e-13,-8.258775759694375e-15,0.0,-6.068565470622237e-19,-4.666377996695183e-13,-6.629193582799528e-15,0.10000010591815893,0.10000010591815893,-1.9331496416536128e-28,0.10000615000049441
0.019000000000005457,-6.351543230464258e-13,-8.25969742299072e-15,0.0,-6.133833914985406e-19,-4.551773128505472e-13,-6.6055794522540395e-15,0.10000010631122215,0.10000010631122215,-1.9179183126768187e-28,0.10000619970050047
0.01999999999999602,-6.352166761407578e-13,-8.260610390429634e-15,0.0,-6.170468796235825e-19,-4.553917288813098e-13,-6.5863866670435914e-15,0.10000010670434353,0.10000010670434353,-1.9028677458642725e-28,0.10000624960050658
0.021000000000000796,-6.352816061618787e-13,-8.261523697965149e-15,0.0,-6.136644211854436e-19,-4.478698234580802e-13,-6.54854243656806e-15,0.10000010709752251,0.10000010709752251,-1.8879936450549715e-28,0.10000629970051274
0.02200000000000557,-6.353433280049659e-13,-8.262429231294299e-15,0.0,-6.199755282237194e-19,-4.4564272336852484e-13,-6.5075570833983656e-15,0.10000010749075848,0.10000010749075848,-1.8732944890802024e-28,0.10000635000051894
0.022999999999996135,-6.354088883316506e-13,-8.263323921919427e-15,0.0,-6.172575874195629e-19,-4.3136017608147553e-13,-6.470875503825514e-15,0.10000010788405087,0.10000010788405087,-1.8587663787857725e-28,0.10000640050052519
