time,rmse,nees,error
1768960499.4392464,1.6558484315889295e-12,4.019328685733065e-24,6.339820846387825e-13
1768960499.4434338,1.6523814288497566e-12,4.020266461077695e-24,6.340560407824803e-13
1768960499.4461818,1.6489412130601882e-12,4.020266461077695e-24,6.341337549603609e-13
1768960499.4469724,1.6455274489639731e-12,4.021252007538287e-24,6.342082656481906e-13
1768960499.451348,1.6421398016372915e-12,4.0230652880714775e-24,6.342767145202437e-13
1768960499.456118,1.638777957803769e-12,4.02396611993374e-24,6.343477243942943e-13
1768960499.4589748,1.638777957803769e-12,4.02396611993374e-24,6.344155301414365e-13
1768960499.462168,1.6354415987949993e-12,4.024826397617299e-24,6.344871356504127e-13
1768960499.4671502,1.632130424215915e-12,4.025734985048537e-24,6.345555684650049e-13
1768960499.4751363,1.625582395245154e-12,4.027394845960468e-24,6.346179281578086e-13
1768960499.4760618,1.625582395245154e-12,4.027394845960468e-24,6.346828645635215e-13
1768960499.4800956,1.6223449448390353e-12,4.0282190675545324e-24,6.347445929618202e-13
1768960499.489296,1.6159417287535098e-12,4.0298350329081824e-24,6.348101593773758e-13
1768960499.4898813,1.6159417287535098e-12,4.0298350329081824e-24,6.348725864433453e-13
1768960499.4952579,1.6127754034228181e-12,4.030627641883225e-24,6.349289459875385e-13
1768960499.5016215,1.6096322205998852e-12,4.031343279604026e-24,6.349879093735934e-13
1768960499.5076444,1.6065119158805071e-12,4.0320920489029906e-24,6.350436809196615e-13
1768960499.5129685,1.6034142186597789e-12,4.032800348513674e-24,6.351033374237451e-13
1768960499.5183322,1.600338875398644e-12,4.033558057116703e-24,6.351598905392786e-13
1768960499.5225987,1.5972856240657803e-12,4.034276413878074e-24,6.352103716675702e-13
1768960499.5271766,1.5942542014285411e-12,4.0349176945279794e-24,6.352634772181216e-13
1768960499.531122,1.588255861448923e-12,4.035592370023846e-24,6.353133924468101e-13
1768960499.5313544,1.5852884437592437e-12,4.036226564775562e-24,6.353578453275403e-13
1768960499.5329325,1.5823418807047692e-12,4.036791398217505e-24,6.354059871177553e-13
1768960499.5350204,1.579415935905122e-12,4.037991253548262e-24,6.35452264507536e-13
