time,rmse,nees,error
1768963277.5378258,2.0918241446901833e-12,4.240173830842357e-24,6.511709171917358e-13
1768963277.540913,2.0897606336294443e-12,4.240173830842357e-24,6.509703388872753e-13
1768963277.5442538,2.087704095620583e-12,4.2377150476428625e-24,6.50982121512959e-13
1768963277.5466807,2.087704095620583e-12,4.2377150476428625e-24,6.507921267111779e-13
1768963277.6000574,2.0856543555617797e-12,4.235241639482603e-24,6.502113343184953e-13
1768963277.6032372,2.0836111114441913e-12,4.2276843917031116e-24,6.499198895085115e-13
1768963277.6064627,2.0815745229195044e-12,4.2238951420318376e-24,6.495826814831435e-13
1768963277.611238,2.077521323340851e-12,4.2199341857508576e-24,6.496151184900908e-13
1768963277.6129246,2.077521323340851e-12,4.2199341857508576e-24,6.492785494197333e-13
1768963277.6160002,2.0755046400432036e-12,4.21556243579268e-24,6.493874582213632e-13
1768963277.6191196,2.073494736408546e-12,4.216976508227268e-24,6.491316962065225e-13
1768963277.6224082,2.0694943842593943e-12,4.21024024083433e-24,6.488686016971231e-13
1768963277.625427,2.0675041321667807e-12,4.212093300971843e-24,6.49011400393965e-13
1768963277.6281412,2.065520325889734e-12,4.212093300971843e-24,6.488351107019738e-13
1768963277.6310866,2.063542777267088e-12,4.2045348675279066e-24,6.484288387720761e-13
1768963277.6340852,2.061571300197569e-12,4.2045348675279066e-24,6.477937834962161e-13
1768963277.6372924,2.059607063827335e-12,4.211495966629463e-24,6.489654520938996e-13
1768963277.6399777,2.057649241531206e-12,4.211288464460296e-24,6.489494754165937e-13
1768963277.6430466,2.0556978041494317e-12,4.2111768457136595e-24,6.489408958659466e-13
1768963277.6460176,2.053752700567482e-12,4.210727639854525e-24,6.489062946352525e-13
1768963277.6491241,2.0518139227250148e-12,4.210776898451214e-24,6.489101107872911e-13
1768963277.652257,2.0498813344583774e-12,4.208811954935834e-24,6.487586982951175e-13
1768963277.6544273,2.0498813344583774e-12,4.208811954935834e-24,6.48726572663936e-13
1768963277.6574538,2.0479549818947633e-12,4.208394869094498e-24,6.48791643962448e-13
1768963277.6604457,2.0441211656580845e-12,4.2092389003771334e-24,6.490390757891199e-13
1768963277.6635141,2.0422136138978e-12,4.212851342883264e-24,6.490700276529414e-13
1768963277.6660383,2.0403121846703616e-12,4.212851342883264e-24,6.490641594505119e-13
1768963277.706748,2.0403121846703616e-12,4.212774899180547e-24,6.49378264657738e-13
1768963277.71008,2.0384170566149703e-12,4.2168511602268954e-24,6.492851821295065e-13
1768963277.7158787,2.034644835684788e-12,4.215680827648409e-24,6.492881764785859e-13
1768963277.7165833,2.034644835684788e-12,4.215680827648409e-24,6.493874877636406e-13
1768963277.7198353,2.032767806571112e-12,4.216970269023672e-24,6.494277309354331e-13
1768963277.7231538,2.030896772401224e-12,4.217492676070744e-24,6.495118297632809e-13
1768963277.726928,2.0271725919661315e-12,4.218491775622445e-24,6.49504690587672e-13
1768963277.7288888,2.0271725919661315e-12,4.218491775622445e-24,6.49522318870072e-13
1768963277.732479,2.0234718824273084e-12,4.217637214696795e-24,6.494389419344533e-13
1768963277.7348955,2.0234718824273084e-12,4.217637214696795e-24,6.49443412387648e-13
1768963277.7373421,2.019794363209312e-12,4.217133894962891e-24,6.494002210367779e-13
1768963277.7400508,2.019794363209312e-12,4.217133894962891e-24,6.494028461238844e-13
1768963277.7424684,2.017964242340043e-12,4.2171677203706635e-24,6.493175447260701e-13
1768963277.745465,2.014321015206811e-12,4.2154483425532774e-24,6.492704801559113e-13
1768963277.7475505,2.014321015206811e-12,4.2154483425532774e-24,6.492570497089079e-13
1768963277.7506597,2.010700489563229e-12,4.215273809483864e-24,6.493608354300245e-13
