time,x,y,z,yaw,vx,vy,cov_xx,cov_yy,cov_xy,cov_yaw
0.0,-6.683696988653996e-13,-8.839457442255644e-15,0.0,-2.816058953972802e-18,-3.536647384074946e-13,-2.4903212253007556e-15,0.10000095281089784,0.10000095281089784,3.935155875198591e-28,0.10008368372478701
0.0030000000000001137,-6.676735206017079e-13,-8.834022841124042e-15,0.0,-2.815213813943062e-18,-3.2863823319903224e-13,-2.4567541958567573e-15,0.10000095460730621,0.10000095460730621,3.8929508694041682e-28,0.10008423242503357
0.007000000000005002,-6.673039824365135e-13,-8.831178112178732e-15,0.0,-2.848831758226734e-18,-3.2439937196294166e-13,-2.451043491430028e-15,0.10000096052633232,0.10000096052633232,3.8700812765186092e-28,0.10008496842536485
0.008000000000002672,-6.660954495879706e-13,-8.821601965064996e-15,0.0,-2.8492534827325993e-18,-3.014426824620278e-13,-2.375433539402757e-15,0.10000095472907634,0.10000095472907634,3.797369982930923e-28,0.10008515172544813
0.014000000000002899,-6.6650153125423e-13,-8.82381631215133e-15,0.0,-2.9020271109026266e-18,-2.495883408460233e-13,-2.460562442140399e-15,0.10000096854956513,0.10000096854956513,3.8122285432634754e-28,0.10008626772595161
0.017000000000003013,-6.660446601846509e-13,-8.818973486557587e-15,0.0,-2.946399572690808e-18,-2.385122317840253e-13,-2.448572308953332e-15,0.1000009707149917,0.1000009707149917,3.7762778738457106e-28,0.10008682482620583
0.021000000000000796,-6.659241165474567e-13,-8.816870131194723e-15,0.0,-2.9563081762858958e-18,-2.0359805189847517e-13,-2.385147661969332e-15,0.1000009767969587,0.1000009767969587,3.7586233273953175e-28,0.10008757202654736
0.02400000000000091,-6.656222290735816e-13,-8.812511650922162e-15,0.0,-2.9841753023050872e-18,-1.7938480332584983e-13,-2.3442618272147097e-15,0.1000009790986932,0.1000009790986932,3.72517814637841e-28,0.10008813332680547
0.027000000000001023,-6.653184722706231e-13,-8.80832036679176e-15,0.0,-3.0266637834724215e-18,-1.726023879987737e-13,-2.322423975251592e-15,0.1000009814884794,0.1000009814884794,3.6930958124171536e-28,0.10008869642706525
0.03100000000000591,-6.652758595731063e-13,-8.806688321438566e-15,0.0,-3.039359939838398e-18,-1.3953689777580148e-13,-2.2584289751837743e-15,0.10000098765976316,0.10000098765976316,3.678462288697119e-28,0.10008945162741423
0.034000000000006025,-6.651089991027269e-13,-8.802860808508054e-15,0.0,-3.071166773793068e-18,-1.1612213093094687e-13,-2.2273138531687324e-15,0.10000099014990495,0.10000099014990495,3.6482293301795486e-28,0.10009001892767794
0.03700000000000614,-6.649352918160564e-13,-8.799259541142744e-15,0.0,-3.116073175282953e-18,-1.0929993147492047e-13,-2.181106383963754e-15,0.10000099270945391,0.10000099270945391,3.619083815267119e-28,0.10009058802794334
0.04100000000000392,-6.649570256991086e-13,-8.797908457496541e-15,0.0,-3.1367048042435692e-18,-7.425431080056045e-14,-2.1549527645736115e-15,0.1000009989417996,0.1000009989417996,3.6067937487798255e-28,0.10009135122829983
0.044000000000004036,-6.649141902744318e-13,-8.794657611575187e-15,0.0,-3.1275846883800836e-18,-4.945093767922409e-14,-2.078916450273371e-15,0.10000100157718976,0.10000100157718976,3.579077275731564e-28,0.10009192452856919
0.04700000000000415,-6.648622011773213e-13,-8.791479035052272e-15,0.0,-3.1507239373074697e-18,-4.11001624862753e-14,-2.0513191797610435e-15,0.10000100426875566,0.10000100426875566,3.5522120834208122e-28,0.10009249962884026
0.05000000000000426,-6.647495285374798e-13,-8.788466286553785e-15,0.0,-3.1925175237998623e-18,-5.765354500933698e-14,-2.014046337207884e-15,0.1000010070117767,0.1000010070117767,3.5260460000516445e-28,0.10009307652911305
0.05300000000000438,-6.645270541418383e-13,-8.785496962915943e-15,0.0,-3.2189791343422224e-18,-1.0367236960843053e-13,-2.010127133992849e-15,0.10000100980204926,0.10000100980204926,3.5004020755095108e-28,0.10009365522938755
0.05600000000000449,-6.643668918038052e-13,-8.782615693943316e-15,0.0,-3.217056328375038e-18,-1.0741005971909666e-13,-2.0063271617073606e-15,0.1000010126358176,0.1000010126358176,3.475696171514161e-28,0.10009423572966379
0.059000000000004604,-6.64240129894884e-13,-8.77993158266176e-15,0.0,-3.195971787441874e-18,-9.927077957531043e-14,-1.963367391180817e-15,0.1000010155097156,0.1000010155097156,3.451776792643599e-28,0.10009481802994176
0.06200000000000472,-6.641067869937137e-13,-8.777248939093679e-15,0.0,-3.2057999364775656e-18,-9.85888188573031e-14,-1.9657381612031444e-15,0.10000101842071737,0.10000101842071737,3.428444859963834e-28,0.10009540213022146
0.0660000000000025,-6.64154708785529e-13,-8.77649782592399e-15,0.0,-3.1915872818530625e-18,-6.360810071975456e-14,-1.995570908784717e-15,0.10000102475254193,0.10000102475254193,3.421246715137747e-28,0.1000961853305971
0.06900000000000261,-6.641502869700919e-13,-8.773938073836918e-15,0.0,-3.1654798923983853e-18,-3.5298530002877864e-14,-1.9634255963115046e-15,0.10000102769727859,0.10000102769727859,3.398622197227747e-28,0.10009677363088086
0.07200000000000273,-6.641440876515133e-13,-8.771356942356549e-15,0.0,-3.1728472477243318e-18,-2.1163070906812525e-14,-1.97732119332204e-15,0.10000103067392041,0.10000103067392041,3.376502447378099e-28,0.10009736373116637
0.07600000000000051,-6.642475035540258e-13,-8.770696475751775e-15,0.0,-3.152674959081608e-18,2.6779679039384772e-14,-2.023107245922283e-15,0.10000103701856224,0.10000103701856224,3.37046391003682e-28,0.10009815493154979
